24-01-2021 02:00:53.430 [main] INFO  SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.albo.comics.scheduler.AlboComicsSchedulerApplicationTests], using SpringBootContextLoader
24-01-2021 02:00:55.514 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:3, serverValue:185125}] to cluster0-shard-00-02.zccxh.mongodb.net:27017
24-01-2021 02:00:55.514 [cluster-rtt-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  connection Opened connection [connectionId{localValue:1, serverValue:185370}] to cluster0-shard-00-02.zccxh.mongodb.net:27017
24-01-2021 02:00:55.515 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-00.zccxh.mongodb.net:27017] INFO  cluster Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.zccxh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=295087600, setName='atlas-s3nd0f-shard-0', canonicalAddress=cluster0-shard-00-00.zccxh.mongodb.net:27017, hosts=[cluster0-shard-00-01.zccxh.mongodb.net:27017, cluster0-shard-00-02.zccxh.mongodb.net:27017, cluster0-shard-00-00.zccxh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zccxh.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=null, lastWriteDate=Sun Jan 24 02:00:52 CST 2021, lastUpdateTimeNanos=2069411495299}
24-01-2021 02:00:55.515 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.zccxh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=295073600, setName='atlas-s3nd0f-shard-0', canonicalAddress=cluster0-shard-00-01.zccxh.mongodb.net:27017, hosts=[cluster0-shard-00-01.zccxh.mongodb.net:27017, cluster0-shard-00-02.zccxh.mongodb.net:27017, cluster0-shard-00-00.zccxh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zccxh.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000007, setVersion=1, topologyVersion=null, lastWriteDate=Sun Jan 24 02:00:52 CST 2021, lastUpdateTimeNanos=2069411495500}
24-01-2021 02:00:55.515 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-02.zccxh.mongodb.net:27017] INFO  cluster Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.zccxh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=295145599, setName='atlas-s3nd0f-shard-0', canonicalAddress=cluster0-shard-00-02.zccxh.mongodb.net:27017, hosts=[cluster0-shard-00-01.zccxh.mongodb.net:27017, cluster0-shard-00-02.zccxh.mongodb.net:27017, cluster0-shard-00-00.zccxh.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zccxh.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=null, lastWriteDate=Sun Jan 24 02:00:52 CST 2021, lastUpdateTimeNanos=2069411495400}
24-01-2021 02:00:55.516 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Setting max election id to 7fffffff0000000000000007 from replica set primary cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:00:55.516 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Setting max set version to 1 from replica set primary cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:00:55.516 [cluster-ClusterId{value='600d29367357141cfb2a0889', description='null'}-cluster0-shard-00-01.zccxh.mongodb.net:27017] INFO  cluster Discovered replica set primary cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:00:59.131 [main] INFO  connection Opened connection [connectionId{localValue:7, serverValue:224752}] to cluster0-shard-00-01.zccxh.mongodb.net:27017
24-01-2021 02:00:59.325 [main] INFO  ScheduledTask End success insert data comics job...
